event_id,event_type,event_time_min,status,validation_ok,route_count,used_vehicle_count,total_cost,total_distance_km,energy_cost,carbon_cost,waiting_cost,late_cost,frozen_unit_count,residual_unit_count,added_route_count,removed_route_count,changed_assignment_count,arc_disruption_count,disruption_proxy
Q3_R_NEW_01,new_order,780.0,ok,True,104,35,49507.06705052028,12321.78974967704,21017.309744381906,4516.883981344219,615.2888007809186,9357.584524013242,120,308,1,0,0,2,2.0
Q3_R_NEW_02,new_order,795.0,ok,True,105,35,49723.90886932697,12443.404907075144,21084.85323863179,4530.295895309142,615.2888007809186,9493.470934605124,134,295,1,0,0,2,2.0
Q3_R_NEW_03,new_order,810.0,ok,True,106,36,50202.686410240196,12561.845108429952,21150.57967370298,4543.3470011511745,615.2888007809186,9493.470934605124,141,289,1,0,0,2,2.0
Q3_R_NEW_04,new_order,825.0,ok,True,107,36,50495.19199894379,12711.247395998655,21233.591714363745,4559.830459103112,615.2888007809186,9686.481024696015,144,287,1,0,0,2,2.0
Q3_R_CANCEL_01,cancel_order,840.0,ok,True,107,36,50488.277446907436,12711.247395998655,21227.912640698753,4558.594980731748,615.2888007809186,9686.481024696015,149,281,0,0,0,0,0.0
Q3_R_CANCEL_02,cancel_order,855.0,ok,True,107,36,50477.66889807035,12711.247395998655,21219.199606216156,4556.699466377259,615.2888007809186,9686.481024696015,156,273,0,0,0,0,0.0
Q3_R_CANCEL_03,cancel_order,870.0,ok,True,107,36,50475.29108608815,12711.247395998655,21217.21572726985,4556.305533341366,615.2888007809186,9686.481024696015,173,255,0,0,0,0,0.0
Q3_R_CANCEL_04,cancel_order,885.0,ok,True,107,36,50465.24199851224,12711.247395998655,21208.96219062576,4554.50998240955,615.2888007809186,9686.481024696015,184,243,0,0,0,0,0.0
Q3_R_ADDRESS_01,address_change,900.0,ok,True,108,38,51477.26690398602,12843.863718287439,21357.416094565557,4585.771091482629,615.1898291475463,9718.889888790281,194,233,1,0,1,5,6.0
Q3_R_ADDRESS_02,address_change,915.0,ok,True,109,38,51779.27952913214,13069.816823542817,21476.55517866395,4609.073230513851,615.1898291475463,9878.46129080679,197,230,1,0,1,2,3.0
Q3_R_ADDRESS_03,address_change,930.0,ok,True,110,38,52083.65092505338,13265.983632456395,21574.907647466785,4628.22294229781,615.1898291475463,10065.33050614124,206,221,1,0,1,2,3.0
Q3_R_ADDRESS_04,address_change,945.0,ok,True,111,38,52270.68223124304,13344.053252998172,21728.520572776484,4661.641323177766,615.1898291475463,10065.33050614124,215,212,1,0,1,2,3.0
Q3_R_TW_01,time_window_change,960.0,ok,True,112,38,52756.51914683061,13475.725009905296,21997.056448807187,4720.120500512096,615.1898291475463,10224.152368363786,233,194,1,0,1,2,3.0
Q3_R_TW_02,time_window_change,975.0,ok,True,113,38,53228.3658701345,13607.811621902712,22266.182222395535,4778.726611246401,615.1898291475463,10368.267207345012,234,193,1,0,1,2,3.0
Q3_R_TW_03,time_window_change,990.0,ok,True,114,38,53542.752291356934,13744.75390705507,22337.418483111775,4792.666118396416,615.1898291475463,10597.477860701198,244,183,1,0,1,2,3.0
Q3_R_TW_04,time_window_change,1005.0,ok,True,115,39,54062.647807691625,13938.923271283502,22437.721310200053,4812.258807642831,615.1898291475463,10597.477860701198,246,181,1,0,1,2,3.0
